id,type,inScheme,member,notation,prefLabel,topConceptOf,dc\.identifier,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/collection/wateroppervlaktype/wateroppervlaktypes,http://www.w3.org/2004/02/skos/core#Collection,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/1|https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/2|https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/3|https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/4|https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/5|https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/6|https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/7,wateroppervlaktypes,Collectie van wateroppervlaktypes.,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/1,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,1,water voor het eerst waargenomen,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/2,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,2,water verdwenen,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/3,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,3,water terug tevoorschijn,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/4,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,4,water toegevoegd,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/5,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,5,water bij rust,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/6,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,6,Begin van de dag/boring,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/7,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,7,Einde van de dag/boring,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/wateroppervlaktype,http://www.w3.org/2004/02/skos/core#ConceptScheme,null,null,null,Lijst met types wateroppervlakte,null,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.opslaglocatie,https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/1|https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/2|https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/3|https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/4|https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/5|https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/6|https://data.bodemenondergrond.vlaanderen.be/id/concept/wateroppervlaktype/7
